model_name,relation_pair_id,layer_idx,relation_transfer_pct,overwrite_pct,failure_pct,n
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,2,0.0,0.0,1.0,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,4,0.0,0.08333333333333333,0.9166666666666666,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,6,0.0,0.08333333333333333,0.9166666666666666,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,8,0.0,0.16666666666666666,0.8333333333333334,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,10,0.0,0.16666666666666666,0.8333333333333334,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,12,0.0,0.5,0.5,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,14,0.08333333333333333,0.9166666666666666,0.0,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,16,1.0,0.0,0.0,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,18,1.0,0.0,0.0,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,20,1.0,0.0,0.0,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,22,1.0,0.0,0.0,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,24,0.9166666666666666,0.08333333333333333,0.0,12
meta-llama/Llama-3.2-3B,opp_recv__comp_donor,26,1.0,0.0,0.0,12
meta-llama/Llama-3.2-3B,part_recv__past_donor,0,0.0,0.0,1.0,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,2,0.0,0.047619047619047616,0.9523809523809523,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,4,0.0,0.047619047619047616,0.9523809523809523,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,6,0.0,0.23809523809523808,0.7619047619047619,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,8,0.0,0.23809523809523808,0.7619047619047619,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,10,0.0,0.2857142857142857,0.7142857142857143,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,12,0.0,0.047619047619047616,0.9523809523809523,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,14,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,16,1.0,0.0,0.0,21
