model_name,layer_idx,unrelated_entity_wins,unrelated_relation_wins,unrelated_original_retained,unrelated_mixed_or_other,n
meta-llama/Meta-Llama-3-8B,16,0.4015151515151515,0.015151515151515152,0.07575757575757576,0.5075757575757576,132
meta-llama/Meta-Llama-3-8B,18,0.6666666666666666,0.007575757575757576,0.0,0.32575757575757575,132
meta-llama/Meta-Llama-3-8B,20,0.8333333333333334,0.0,0.0,0.16666666666666666,132
meta-llama/Meta-Llama-3-8B,22,0.9166666666666666,0.0,0.0,0.08333333333333333,132
meta-llama/Meta-Llama-3-8B,24,0.9242424242424242,0.0,0.0,0.07575757575757576,132
meta-llama/Meta-Llama-3-8B,26,0.9166666666666666,0.0,0.0,0.08333333333333333,132
meta-llama/Meta-Llama-3-8B,28,0.9166666666666666,0.0,0.0,0.08333333333333333,132
meta-llama/Meta-Llama-3-8B,30,0.9090909090909091,0.0,0.0,0.09090909090909091,132
microsoft/phi-2,0,0.0,0.0,0.9924242424242424,0.007575757575757576,132
microsoft/phi-2,2,0.0,0.0,0.9772727272727273,0.022727272727272728,132
microsoft/phi-2,4,0.0,0.0,0.9848484848484849,0.015151515151515152,132
microsoft/phi-2,6,0.0,0.0,0.8560606060606061,0.14393939393939395,132
microsoft/phi-2,8,0.0,0.0,0.7727272727272727,0.22727272727272727,132
microsoft/phi-2,10,0.0,0.0,0.7196969696969697,0.2803030303030303,132
microsoft/phi-2,12,0.007575757575757576,0.0,0.553030303030303,0.4393939393939394,132
microsoft/phi-2,14,0.007575757575757576,0.0,0.3787878787878788,0.6136363636363636,132
microsoft/phi-2,16,0.12878787878787878,0.0,0.2196969696969697,0.6515151515151515,132
microsoft/phi-2,18,0.36363636363636365,0.007575757575757576,0.03787878787878788,0.5909090909090909,132
microsoft/phi-2,20,0.45454545454545453,0.007575757575757576,0.007575757575757576,0.5303030303030303,132
microsoft/phi-2,22,0.6287878787878788,0.0,0.0,0.3712121212121212,132
microsoft/phi-2,24,0.7954545454545454,0.0,0.0,0.20454545454545456,132
microsoft/phi-2,26,0.8712121212121212,0.0,0.0,0.12878787878787878,132
microsoft/phi-2,28,0.9318181818181818,0.0,0.0,0.06818181818181818,132
microsoft/phi-2,30,0.9242424242424242,0.0,0.0,0.07575757575757576,132
