model_name,steer_type,zone,source_family,layer_idx,alpha,target_hit_pct,random_target_hit_pct,original_pct,random_original_pct,mixed_pct,random_mixed_pct,n
Qwen/Qwen2.5-3B,entity_late,late,past_tense,28,3.0,0.0,0.0,0.0,0.047619047619047616,1.0,0.9523809523809523,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,30,0.5,0.14285714285714285,0.0,0.047619047619047616,0.5714285714285714,0.8095238095238095,0.42857142857142855,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,30,1.0,0.09523809523809523,0.0,0.0,0.09523809523809523,0.9047619047619048,0.9047619047619048,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,30,1.5,0.0,0.0,0.0,0.0,1.0,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,30,2.0,0.0,0.0,0.047619047619047616,0.0,0.9523809523809523,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,30,3.0,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,32,0.5,0.6666666666666666,0.0,0.0,0.38095238095238093,0.3333333333333333,0.6190476190476191,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,32,1.0,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,32,1.5,0.47619047619047616,0.0,0.0,0.0,0.5238095238095238,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,32,2.0,0.47619047619047616,0.0,0.0,0.0,0.5238095238095238,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,32,3.0,0.38095238095238093,0.0,0.0,0.0,0.6190476190476191,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,34,0.5,0.8571428571428571,0.0,0.0,0.47619047619047616,0.14285714285714285,0.5238095238095238,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,34,1.0,0.5238095238095238,0.0,0.0,0.14285714285714285,0.47619047619047616,0.8571428571428571,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,34,1.5,0.38095238095238093,0.0,0.0,0.14285714285714285,0.6190476190476191,0.8571428571428571,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,34,2.0,0.42857142857142855,0.0,0.0,0.047619047619047616,0.5714285714285714,0.9523809523809523,21
Qwen/Qwen2.5-3B,entity_late,late,past_tense,34,3.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,28,0.5,0.3333333333333333,0.0,0.0,0.8571428571428571,0.6666666666666666,0.14285714285714285,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,28,1.0,0.2857142857142857,0.0,0.0,0.23809523809523808,0.7142857142857143,0.7619047619047619,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,28,1.5,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,28,2.0,0.09523809523809523,0.0,0.0,0.0,0.9047619047619048,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,28,3.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.9523809523809523,0.9047619047619048,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,30,0.5,0.3333333333333333,0.0,0.0,0.7619047619047619,0.6666666666666666,0.23809523809523808,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,30,1.0,0.3333333333333333,0.0,0.0,0.047619047619047616,0.6666666666666666,0.9523809523809523,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,30,1.5,0.19047619047619047,0.0,0.0,0.0,0.8095238095238095,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,30,2.0,0.23809523809523808,0.0,0.0,0.0,0.7619047619047619,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,30,3.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.8095238095238095,0.9523809523809523,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,32,0.5,0.9523809523809523,0.0,0.0,0.6666666666666666,0.047619047619047616,0.3333333333333333,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,32,1.0,0.7142857142857143,0.0,0.0,0.09523809523809523,0.2857142857142857,0.9047619047619048,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,32,1.5,0.6666666666666666,0.0,0.0,0.09523809523809523,0.3333333333333333,0.9047619047619048,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,32,2.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,32,3.0,0.38095238095238093,0.0,0.0,0.0,0.6190476190476191,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,34,0.5,0.8095238095238095,0.0,0.0,0.5238095238095238,0.19047619047619047,0.47619047619047616,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,34,1.0,0.38095238095238093,0.0,0.047619047619047616,0.19047619047619047,0.5714285714285714,0.8095238095238095,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,34,1.5,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.7142857142857143,0.9523809523809523,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,34,2.0,0.23809523809523808,0.0,0.0,0.0,0.7619047619047619,1.0,21
Qwen/Qwen2.5-3B,entity_late,late,present_participle,34,3.0,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,1.0,21
Qwen/Qwen2.5-3B,entity_mid,mid,capital,14,0.5,0.0,0.0,0.8787878787878788,0.9393939393939394,0.12121212121212122,0.06060606060606061,33
